symbol,coingecko_id,precision,address
AVAX,avalanche-2,18,fvweahmxkfeig8snevq42hc6whryy3efyavebmqdndgcgxn5z
PNG,pangolin,18,0x60781c2586d68229fde47564546784ab3faca982
ETH,ethereum,18,0xf20d962a6c8f70c731bd838a3a388d7d48fa6e15
JOE,joe,18,0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd
USDC,usd,6,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e
USDC.e,usd,6,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664
WETH.e,ethereum,18,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab
WAVAX,avalanche-2,18,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7
DAI.e,dai,18,0xd586e7f844cea2f87f50152665bcbc2c279d8d70
WBTC.e,bitcoin,8,0x50b7545627a5162f82a992c33b87adc75187b218
USDT.e,usd,6,0xc7198437980c041c805a1edcba50c1ce5db95118
LINK.e,link,18,0x5947bb275c521040051d82396192181b413227a3
ALPHA.e,aavegotchi-alpha,18,0x2147efff675e4a4ee1c2f918d181cdbd7a8e208f
MIM,mim,18,0x130966628846bfd36ff31a822705796e8cb8c18d
UST.axl,usd,6,0x260bbf5698121eb85e7a74f2e45e16ce762ebe11
